batter,player_name,team_abbr,opp_team,is_home,bat_order,in_lineup,pitcher_id,pitcher_name,p_throws,game_id,game_time,stadium,stand_R,p_throws_R,opp_k_pct_15,game_date,game_pk,is_dome,wind_out,hit_factor,tb_factor,hr_factor,stand,pa,ab,h,doubles,triples,hr,bb,hbp,sf,k,tb,batted_balls,barrels,hard_hits,fly_balls,ground_balls,line_drives,avg_xba,avg_xslg,target_hit_1plus,target_hit_2plus,target_tb_1plus,target_tb_2plus,target_k_1plus,target_k_2plus,batting_avg_15,obp_15,contact_rate_15,k_rate_15,babip_15,iso_15,hr_rate_15,doubles_rate_15,extra_base_hit_rate_15,avg_total_bases_15,avg_k_per_game_15,hard_hit_pct_15,line_drive_pct_15,gb_pct_15,fly_ball_pct_15,barrel_pct_15,xba_15,xslg_15,batting_avg_last_5,k_rate_last_5,xba_last_5,xslg_last_5,batting_avg_vs_R_15,slg_vs_R_15,k_rate_vs_R_15,batting_avg_vs_L_15,slg_vs_L_15,k_rate_vs_L_15,p_contact_rate_allowed_10,p_babip_allowed_10,p_slg_allowed_10,p_iso_allowed_10,p_gb_pct_10,p_fb_pct_10,p_barrel_pct_allowed_10,p_hits_per9_10,p_hr_per9_10,p_k_per9_10,p_k_rate_10,p_k_1plus,p_k_2plus,adj_prob,pred_ks,book_markets,primary_line,primary_side,primary_best_book,primary_best_odds,primary_book_implied,primary_has_line,primary_edge,secondary_line,secondary_side,secondary_best_book,secondary_best_odds,secondary_book_implied,secondary_has_line,secondary_edge
683734,Andrew Vaughn,MIL,ATL,1,4.0,1.0,519242.0,Chris Sale,L,823746,4:10 PM ET,American Family Field,1,0,0.2546689303904924,2026-08-21,823746,0.0,1,96.2,95.7,110.9,R,4,3,1,0,0,0,1,0,0,1,1,2,0,2,1,0,1,0.5529999999999999,0.865,1,0,1,0,1,0,0.2916666666666667,0.37037037037037035,0.6875,0.2727272727272727,0.40625,0.08333333333333333,0.01818181818181818,0.01818181818181818,0.041666666666666664,1.2,1.0,0.3939393939393939,0.18181818181818182,0.6060606060606061,0.18181818181818182,0.0,0.38372222222222224,0.6215611111111111,0.4,0.05555555555555555,0.3587666666666666,0.4363833333333333,0.3023255813953488,0.3953488372093023,0.2,0.21621621621621623,0.3783783783783784,0.23076923076923078,0.6244541484716157,0.23696682464454977,0.3145539906103286,0.07042253521126761,0.46853146853146854,0.22377622377622378,0.027972027972027972,8.85,0.45,11.100000000000001,0.2901960784313726,0.7028007143702918,0.2768335246012581,0.7028007143702918,1.0,,0.5,,,,,False,,1.5,,,,,False,
668930,Brice Turang,MIL,ATL,1,2.0,1.0,519242.0,Chris Sale,L,823746,4:10 PM ET,American Family Field,0,0,0.2546689303904924,2026-08-21,823746,0.0,1,96.2,95.7,110.9,L,5,5,1,0,0,0,0,0,0,1,1,4,0,3,0,2,2,0.47750000000000004,0.62525,1,0,1,0,1,0,0.22413793103448276,0.3382352941176471,0.6724137931034483,0.2753623188405797,0.3157894736842105,0.10344827586206896,0.014492753623188406,0.043478260869565216,0.06896551724137931,1.2666666666666666,1.2666666666666666,0.425,0.3,0.35,0.325,0.0,0.38889999999999997,0.6346166666666666,0.1,0.2916666666666667,0.2962,0.5314999999999999,0.2711864406779661,0.3728813559322034,0.23529411764705882,0.15873015873015872,0.2698412698412698,0.2676056338028169,0.6244541484716157,0.23696682464454977,0.3145539906103286,0.07042253521126761,0.46853146853146854,0.22377622377622378,0.027972027972027972,8.85,0.45,11.100000000000001,0.2901960784313726,0.7453789631263371,0.3538977485966021,0.7453789631263371,1.2666666666666666,,0.5,,,,,False,,1.5,,,,,False,
806198,Cooper Pratt,MIL,ATL,1,8.0,1.0,519242.0,Chris Sale,L,823746,4:10 PM ET,American Family Field,1,0,0.2546689303904924,2026-08-21,823746,0.0,1,96.2,95.7,110.9,R,4,4,0,0,0,0,0,0,0,1,0,3,0,1,0,2,1,0.3096666666666667,0.4836666666666667,0,0,0,0,1,0,0.2765957446808511,0.34545454545454546,0.7021276595744681,0.2545454545454545,0.35294117647058826,0.10638297872340426,0.01818181818181818,0.03636363636363636,0.06382978723404255,1.2,0.9333333333333333,0.2857142857142857,0.22857142857142856,0.45714285714285713,0.2857142857142857,0.0,0.23717261904761905,0.3414583333333333,0.17647058823529413,0.2222222222222222,0.21895000000000003,0.2934500000000001,0.32653061224489793,0.4897959183673469,0.21052631578947367,0.25,0.25,0.20833333333333334,0.6244541484716157,0.23696682464454977,0.3145539906103286,0.07042253521126761,0.46853146853146854,0.22377622377622378,0.027972027972027972,8.85,0.45,11.100000000000001,0.2901960784313726,0.6603240911125827,0.2466536731948061,0.6603240911125827,0.9333333333333333,,0.5,,,,,False,,1.5,,,,,False,
596142,Gary Sánchez,MIL,ATL,1,6.0,1.0,519242.0,Chris Sale,L,823746,4:10 PM ET,American Family Field,1,0,0.2546689303904924,2026-08-21,823746,0.0,1,96.2,95.7,110.9,R,4,4,1,1,0,0,0,0,0,2,2,2,0,0,0,1,1,0.42100000000000004,0.471,1,0,1,1,1,1,0.21951219512195122,0.36,0.6829268292682927,0.2549019607843137,0.2692307692307692,0.21951219512195122,0.0392156862745098,0.058823529411764705,0.12195121951219512,1.2,0.8666666666666667,0.32142857142857145,0.17857142857142858,0.42857142857142855,0.25,0.03571428571428571,0.28720833333333334,0.46565277777777786,0.1875,0.35,0.45695833333333336,0.747583333333333,0.325,0.675,0.13725490196078433,0.19444444444444445,0.3611111111111111,0.2,0.6244541484716157,0.23696682464454977,0.3145539906103286,0.07042253521126761,0.46853146853146854,0.22377622377622378,0.027972027972027972,8.85,0.45,11.100000000000001,0.2901960784313726,0.6162466315944292,0.22539388483121167,0.6162466315944292,0.8666666666666667,,0.5,,,,,False,,1.5,,,,,False,
694192,Jackson Chourio,MIL,ATL,1,1.0,1.0,519242.0,Chris Sale,L,823746,4:10 PM ET,American Family Field,1,0,0.2546689303904924,2026-08-21,823746,0.0,1,96.2,95.7,110.9,R,4,3,1,0,0,0,1,0,0,0,1,3,0,2,2,1,0,0.436,1.1236666666666666,1,0,1,0,0,0,0.3103448275862069,0.38461538461538464,0.7241379310344828,0.24615384615384617,0.3684210526315789,0.2413793103448276,0.06153846153846154,0.03076923076923077,0.10344827586206896,2.1333333333333333,1.0666666666666667,0.5476190476190477,0.21428571428571427,0.35714285714285715,0.40476190476190477,0.14285714285714285,0.37979444444444443,0.7579222222222222,0.36363636363636365,0.3181818181818182,0.3348,0.5516833333333333,0.30357142857142855,0.48214285714285715,0.25,0.23214285714285715,0.4642857142857143,0.15873015873015872,0.6244541484716157,0.23696682464454977,0.3145539906103286,0.07042253521126761,0.46853146853146854,0.22377622377622378,0.027972027972027972,8.85,0.45,11.100000000000001,0.2901960784313726,0.7064606767818736,0.2867035561509555,0.7064606767818736,1.0666666666666667,,0.5,,,,,False,,1.5,,,,,False,
641343,Jake Bauers,MIL,ATL,1,5.0,1.0,519242.0,Chris Sale,L,823746,4:10 PM ET,American Family Field,0,0,0.2546689303904924,2026-08-21,823746,0.0,1,96.2,95.7,110.9,L,4,2,1,0,0,0,2,0,0,1,1,1,0,1,0,0,1,0.946,1.284,1,0,1,0,1,0,0.3076923076923077,0.4393939393939394,0.7115384615384616,0.22727272727272727,0.37142857142857144,0.23076923076923078,0.045454545454545456,0.045454545454545456,0.11538461538461539,1.8666666666666667,1.0,0.5,0.23684210526315788,0.2894736842105263,0.4473684210526316,0.07894736842105263,0.3965277777777778,0.7617999999999999,0.4117647058823529,0.3181818181818182,0.5699500000000001,0.9998499999999998,0.3018867924528302,0.6037735849056604,0.234375,0.3018867924528302,0.5849056603773585,0.1774193548387097,0.6244541484716157,0.23696682464454977,0.3145539906103286,0.07042253521126761,0.46853146853146854,0.22377622377622378,0.027972027972027972,8.85,0.45,11.100000000000001,0.2901960784313726,0.6772127595354936,0.2915008609765548,0.6772127595354936,1.0,,0.5,,,,,False,,1.5,,,,,False,
687401,Joey Ortiz,MIL,ATL,1,7.0,1.0,519242.0,Chris Sale,L,823746,4:10 PM ET,American Family Field,1,0,0.2546689303904924,2026-08-21,823746,0.0,1,96.2,95.7,110.9,R,4,4,1,0,0,0,0,0,0,2,1,2,0,2,0,1,1,0.34600000000000003,0.4825,1,0,1,0,1,1,0.3673469387755102,0.4107142857142857,0.7551020408163265,0.21428571428571427,0.43243243243243246,0.2653061224489796,0.03571428571428571,0.05357142857142857,0.14285714285714285,2.066666666666667,0.8,0.4358974358974359,0.28205128205128205,0.5128205128205128,0.15384615384615385,0.02564102564102564,0.31833974358974354,0.45567948717948714,0.3333333333333333,0.2857142857142857,0.31637499999999996,0.5153541666666666,0.3191489361702128,0.6595744680851063,0.21052631578947367,0.3902439024390244,0.4146341463414634,0.13636363636363635,0.6244541484716157,0.23696682464454977,0.3145539906103286,0.07042253521126761,0.46853146853146854,0.22377622377622378,0.027972027972027972,8.85,0.45,11.100000000000001,0.2901960784313726,0.6141306472469352,0.2530255163065573,0.6141306472469352,0.8,,0.5,,,,,False,,1.5,,,,,False,
800325,Luis Lara,MIL,ATL,1,9.0,1.0,519242.0,Chris Sale,L,823746,4:10 PM ET,American Family Field,0,0,0.2546689303904924,2026-08-21,823746,0.0,1,96.2,95.7,110.9,L,3,3,0,0,0,0,0,0,0,1,0,2,0,2,0,1,1,0.23099999999999998,0.3985,0,0,0,0,1,0,0.23529411764705882,0.2571428571428571,0.8235294117647058,0.17142857142857143,0.25925925925925924,0.11764705882352941,0.02857142857142857,0.02857142857142857,0.058823529411764705,0.8,0.4,0.4642857142857143,0.35714285714285715,0.4642857142857143,0.17857142857142858,0.03571428571428571,0.34629166666666666,0.4795059523809524,0.2857142857142857,0.06666666666666667,0.35095,0.52265,0.25,0.4107142857142857,0.21311475409836064,0.1111111111111111,0.1111111111111111,0.2,0.6244541484716157,0.23696682464454977,0.3145539906103286,0.07042253521126761,0.46853146853146854,0.22377622377622378,0.027972027972027972,8.85,0.45,11.100000000000001,0.2901960784313726,0.3847614044599757,0.06479707568799566,0.3847614044599757,0.4,,0.5,,,,,False,,1.5,,,,,False,
661388,William Contreras,MIL,ATL,1,3.0,1.0,519242.0,Chris Sale,L,823746,4:10 PM ET,American Family Field,1,0,0.2546689303904924,2026-08-21,823746,0.0,1,96.2,95.7,110.9,R,5,4,0,0,0,0,1,0,0,0,0,4,0,1,1,3,0,0.08325,0.09525,0,0,0,0,0,0,0.16666666666666666,0.30303030303030304,0.8148148148148148,0.15151515151515152,0.16279069767441862,0.12962962962962962,0.030303030303030304,0.015151515151515152,0.05555555555555555,1.0666666666666667,0.6666666666666666,0.4888888888888889,0.2222222222222222,0.35555555555555557,0.3333333333333333,0.08888888888888889,0.28501666666666664,0.6179333333333333,0.2631578947368421,0.17391304347826086,0.40116666666666667,0.9078166666666665,0.18181818181818182,0.34545454545454546,0.16923076923076924,0.3018867924528302,0.4528301886792453,0.13333333333333333,0.6244541484716157,0.23696682464454977,0.3145539906103286,0.07042253521126761,0.46853146853146854,0.22377622377622378,0.027972027972027972,8.85,0.45,11.100000000000001,0.2901960784313726,0.5962067173534822,0.21993197340659176,0.5962067173534822,0.6666666666666666,,0.5,,,,,False,,1.5,,,,,False,
663586,Austin Riley,ATL,MIL,0,8.0,1.0,694819.0,Jacob Misiorowski,R,823746,4:10 PM ET,American Family Field,1,1,0.24299065420560748,2026-08-21,823746,0.0,1,96.2,95.7,110.9,R,4,4,2,1,0,0,0,0,0,2,3,2,0,1,0,1,1,0.4655,0.755,1,1,1,1,1,1,0.2549019607843137,0.2909090909090909,0.5882352941176471,0.38181818181818183,0.35714285714285715,0.23529411764705882,0.05454545454545454,0.05454545454545454,0.11764705882352941,1.6666666666666667,1.4,0.6451612903225806,0.3225806451612903,0.2903225806451613,0.2903225806451613,0.12903225806451613,0.4548611111111111,0.8959,0.16666666666666666,0.47368421052631576,0.4280333333333334,0.6706000000000001,0.27450980392156865,0.5294117647058824,0.36363636363636365,0.21568627450980393,0.3137254901960784,0.31666666666666665,0.5217391304347826,0.10679611650485436,0.27906976744186046,0.13488372093023257,0.49166666666666664,0.26666666666666666,0.016666666666666666,4.2272727272727275,0.4090909090909091,13.227272727272727,0.40082644628099173,0.8201005697904731,0.3719355146809491,0.8201005697904731,1.4,,0.5,,,,,False,,1.5,,,,,False,
