batter,player_name,team_abbr,opp_team,is_home,bat_order,in_lineup,pitcher_id,pitcher_name,p_throws,game_id,game_time,stadium,stand_R,p_throws_R,opp_k_pct_15,game_date,game_pk,is_dome,wind_out,hit_factor,tb_factor,hr_factor,stand,pa,ab,h,doubles,triples,hr,bb,hbp,sf,k,tb,batted_balls,barrels,hard_hits,fly_balls,ground_balls,line_drives,avg_xba,avg_xslg,target_hit_1plus,target_hit_2plus,target_tb_1plus,target_tb_2plus,target_k_1plus,target_k_2plus,batting_avg_15,obp_15,contact_rate_15,k_rate_15,babip_15,iso_15,hr_rate_15,doubles_rate_15,extra_base_hit_rate_15,avg_total_bases_15,avg_k_per_game_15,hard_hit_pct_15,line_drive_pct_15,gb_pct_15,fly_ball_pct_15,barrel_pct_15,xba_15,xslg_15,batting_avg_last_5,k_rate_last_5,xba_last_5,xslg_last_5,batting_avg_vs_R_15,slg_vs_R_15,k_rate_vs_R_15,batting_avg_vs_L_15,slg_vs_L_15,k_rate_vs_L_15,p_contact_rate_allowed_10,p_babip_allowed_10,p_slg_allowed_10,p_iso_allowed_10,p_gb_pct_10,p_fb_pct_10,p_barrel_pct_allowed_10,p_hits_per9_10,p_hr_per9_10,p_k_per9_10,p_k_rate_10,p_tb_1plus,p_tb_2plus,adj_prob,pred_total_bases,book_markets,primary_line,primary_side,primary_best_book,primary_best_odds,primary_book_implied,primary_has_line,primary_edge,secondary_line,secondary_side,secondary_best_book,secondary_best_odds,secondary_book_implied,secondary_has_line,secondary_edge
690993,Colt Keith,DET,KC,1,1.0,1.0,608379.0,Michael Wacha,R,824244,1:10 PM ET,Comerica Park,0,1,0.24324324324324326,2026-07-25,824244,0.0,0,97.6,97.8,106.5,L,4,4,1,0,0,0,0,0,0,2,1,2,0,1,0,0,2,0.5914999999999999,0.6455,1,0,1,0,1,1,0.2571428571428571,0.3076923076923077,0.7428571428571429,0.23076923076923078,0.25,0.2857142857142857,0.07692307692307693,0.02564102564102564,0.11428571428571428,1.2666666666666666,0.6,0.4444444444444444,0.2962962962962963,0.4074074074074074,0.2962962962962963,0.07407407407407407,0.36883928571428576,0.7212857142857143,0.1,0.2,0.19829999999999992,0.3305000000000001,0.2894736842105263,0.5526315789473685,0.23809523809523808,0.25,0.25,0.24444444444444444,0.7452471482889734,0.26382978723404255,0.4628099173553719,0.17768595041322313,0.41836734693877553,0.24489795918367346,0.02040816326530612,9.663157894736843,1.1368421052631579,6.963157894736842,0.18631178707224336,0.5162458103394015,0.2586193818662795,0.5162458103394015,1.2666666666666666,"{""novig"": {""1.5"": {""over"": 144, ""under"": -174}}, ""bet365"": {""1.5"": {""over"": 110, ""under"": -150}}, ""betmgm"": {""1.5"": {""over"": 125, ""under"": -165}}, ""pinnacle"": {""1.5"": {""over"": 134, ""under"": -180}}, ""draftkings"": {""1.5"": {""over"": 140, ""under"": -187}}}",1.5,over,novig,144.0,0.4098360655737705,True,-0.1512,0.5,,,,,False,
650402,Gleyber Torres,DET,KC,1,3.0,1.0,608379.0,Michael Wacha,R,824244,1:10 PM ET,Comerica Park,1,1,0.24324324324324326,2026-07-25,824244,0.0,0,97.6,97.8,106.5,R,4,2,1,0,0,0,2,0,0,0,1,2,0,1,0,1,1,0.565,0.65,1,0,1,0,0,0,0.35185185185185186,0.4262295081967213,0.6851851851851852,0.2786885245901639,0.4857142857142857,0.18518518518518517,0.03278688524590164,0.06557377049180328,0.1111111111111111,1.9333333333333333,1.1333333333333333,0.40540540540540543,0.2702702702702703,0.3783783783783784,0.2972972972972973,0.08108108108108109,0.3759487179487179,0.5931897435897435,0.3125,0.3684210526315789,0.43031249999999976,0.5345624999999999,0.3888888888888889,0.5555555555555556,0.21311475409836064,0.17857142857142858,0.26785714285714285,0.2028985507246377,0.7452471482889734,0.26382978723404255,0.4628099173553719,0.17768595041322313,0.41836734693877553,0.24489795918367346,0.02040816326530612,9.663157894736843,1.1368421052631579,6.963157894736842,0.18631178707224336,0.6427248876499575,0.3584957228268925,0.6427248876499575,1.9333333333333333,"{""novig"": {""1.5"": {""over"": 147}}, ""bet365"": {""1.5"": {""over"": 160, ""under"": -220}}, ""betmgm"": {""1.5"": {""over"": 150, ""under"": -200}}, ""pinnacle"": {""1.5"": {""over"": 165, ""under"": -226}}, ""draftkings"": {""1.5"": {""over"": 151, ""under"": -203}}, ""fanduel"": {""1.5"": {""over"": 140}}}",1.5,over,pinnacle,165.0,0.37735849056603776,True,-0.0189,0.5,,,,,False,
701678,Hao-Yu Lee,DET,KC,1,6.0,1.0,608379.0,Michael Wacha,R,824244,1:10 PM ET,Comerica Park,1,1,0.24324324324324326,2026-07-25,824244,0.0,0,97.6,97.8,106.5,R,3,3,2,1,0,0,0,0,0,0,3,3,0,2,1,0,2,0.503,0.9703333333333334,1,1,1,1,0,0,0.2826086956521739,0.3125,0.782608695652174,0.20833333333333334,0.3235294117647059,0.17391304347826086,0.041666666666666664,0.041666666666666664,0.08695652173913043,1.4,0.6666666666666666,0.4722222222222222,0.3055555555555556,0.4444444444444444,0.1388888888888889,0.0,0.34446153846153843,0.5995487179487179,0.3125,0.11764705882352941,0.40256666666666663,0.6466,0.3018867924528302,0.49056603773584906,0.23636363636363636,0.3333333333333333,0.41025641025641024,0.23809523809523808,0.7452471482889734,0.26382978723404255,0.4628099173553719,0.17768595041322313,0.41836734693877553,0.24489795918367346,0.02040816326530612,9.663157894736843,1.1368421052631579,6.963157894736842,0.18631178707224336,0.611155120184324,0.34614464838759124,0.611155120184324,1.4,"{""betmgm"": {""0.5"": {""over"": -185, ""under"": 135}}, ""bet365"": {""1.5"": {""over"": 170, ""under"": -230}}}",1.5,over,bet365,170.0,0.37037037037037035,True,-0.0242,0.5,over,betmgm,-185.0,0.6491228070175439,True,-0.038
668670,Jake Rogers,DET,KC,1,9.0,1.0,608379.0,Michael Wacha,R,824244,1:10 PM ET,Comerica Park,1,1,0.24324324324324326,2026-07-25,824244,0.0,0,97.6,97.8,106.5,R,4,3,0,0,0,0,1,0,0,1,0,2,0,0,0,2,0,0.2085,0.2105,0,0,0,0,1,0,0.20512820512820512,0.32608695652173914,0.6666666666666666,0.2765957446808511,0.21739130434782608,0.23076923076923078,0.06382978723404255,0.0,0.07692307692307693,1.1333333333333333,0.8666666666666667,0.4074074074074074,0.14814814814814814,0.4074074074074074,0.4074074074074074,0.0,0.21924999999999997,0.4702738095238095,0.5,0.0,0.2782333333333333,0.6629333333333334,0.13953488372093023,0.27906976744186046,0.3018867924528302,0.17647058823529413,0.4411764705882353,0.325,0.7452471482889734,0.26382978723404255,0.4628099173553719,0.17768595041322313,0.41836734693877553,0.24489795918367346,0.02040816326530612,9.663157894736843,1.1368421052631579,6.963157894736842,0.18631178707224336,0.4778821778025077,0.25779273505318484,0.4778821778025077,1.1333333333333333,"{""novig"": {""1.5"": {""over"": 182}}, ""betmgm"": {""0.5"": {""over"": -115, ""under"": -115}}, ""bet365"": {""1.5"": {""over"": 210, ""under"": -300}}}",1.5,over,bet365,210.0,0.3225806451612903,True,-0.0648,0.5,over,betmgm,-115.0,0.5348837209302325,True,-0.057
681481,Kerry Carpenter,DET,KC,1,4.0,1.0,608379.0,Michael Wacha,R,824244,1:10 PM ET,Comerica Park,0,1,0.24324324324324326,2026-07-25,824244,0.0,0,97.6,97.8,106.5,L,4,4,1,0,0,0,0,0,0,0,1,4,0,2,0,3,1,0.29974999999999996,0.32525,1,0,1,0,0,0,0.09302325581395349,0.15217391304347827,0.6976744186046512,0.2708333333333333,0.13333333333333333,0.0,0.0,0.0,0.0,0.26666666666666666,0.8666666666666667,0.23333333333333334,0.23333333333333334,0.3,0.26666666666666666,0.03333333333333333,0.24878472222222223,0.32931249999999995,0.05263157894736842,0.10526315789473684,0.22131666666666666,0.27375000000000005,0.15217391304347827,0.21739130434782608,0.24,0.2391304347826087,0.41304347826086957,0.2549019607843137,0.7452471482889734,0.26382978723404255,0.4628099173553719,0.17768595041322313,0.41836734693877553,0.24489795918367346,0.02040816326530612,9.663157894736843,1.1368421052631579,6.963157894736842,0.18631178707224336,0.5629990121030262,0.32361422489319547,0.5629990121030262,0.26666666666666666,"{""novig"": {""1.5"": {""over"": 147, ""under"": -178}}, ""bet365"": {""1.5"": {""over"": 120, ""under"": -160}}, ""betmgm"": {""1.5"": {""over"": 130, ""under"": -175}}, ""pinnacle"": {""1.5"": {""over"": 141, ""under"": -190}}, ""draftkings"": {""1.5"": {""over"": 137, ""under"": -183}}}",1.5,over,novig,147.0,0.4048582995951417,True,-0.0812,0.5,,,,,False,
805808,Kevin McGonigle,DET,KC,1,2.0,1.0,608379.0,Michael Wacha,R,824244,1:10 PM ET,Comerica Park,0,1,0.24324324324324326,2026-07-25,824244,0.0,0,97.6,97.8,106.5,L,5,4,1,0,0,0,0,0,0,0,1,4,0,3,1,2,1,0.32575,0.51275,1,0,1,0,0,0,0.2807017543859649,0.3787878787878788,0.8421052631578947,0.13636363636363635,0.30434782608695654,0.14035087719298245,0.030303030303030304,0.030303030303030304,0.07017543859649122,1.6,0.6,0.3958333333333333,0.14583333333333334,0.3958333333333333,0.4166666666666667,0.0,0.2822388888888889,0.45791666666666664,0.3157894736842105,0.13636363636363635,0.3211833333333333,0.5702333333333335,0.288135593220339,0.4745762711864407,0.1388888888888889,0.21311475409836064,0.2459016393442623,0.2153846153846154,0.7452471482889734,0.26382978723404255,0.4628099173553719,0.17768595041322313,0.41836734693877553,0.24489795918367346,0.02040816326530612,9.663157894736843,1.1368421052631579,6.963157894736842,0.18631178707224336,0.6489166745890813,0.397033310437551,0.6489166745890813,1.6,"{""novig"": {""1.5"": {""over"": 122, ""under"": -147}}, ""bet365"": {""1.5"": {""over"": 105, ""under"": -140}}, ""betmgm"": {""1.5"": {""over"": 120, ""under"": -160}}, ""pinnacle"": {""1.5"": {""over"": 125, ""under"": -166}}, ""draftkings"": {""1.5"": {""over"": 116, ""under"": -154}}, ""fanduel"": {""1.5"": {""over"": 110}}}",1.5,over,pinnacle,125.0,0.4444444444444444,True,-0.0474,0.5,,,,,False,
663837,Matt Vierling,DET,KC,1,8.0,1.0,608379.0,Michael Wacha,R,824244,1:10 PM ET,Comerica Park,1,1,0.24324324324324326,2026-07-25,824244,0.0,0,97.6,97.8,106.5,R,3,3,0,0,0,0,0,0,0,0,0,3,0,1,1,2,0,0.21066666666666667,0.2343333333333333,0,0,0,0,0,0,0.23809523809523808,0.2727272727272727,0.7857142857142857,0.20454545454545456,0.30303030303030304,0.07142857142857142,0.0,0.022727272727272728,0.047619047619047616,0.8666666666666667,0.6,0.42424242424242425,0.30303030303030304,0.30303030303030304,0.30303030303030304,0.0,0.3648630952380953,0.5049047619047619,0.16666666666666666,0.3333333333333333,0.4351249999999999,0.7048125000000005,0.16666666666666666,0.2916666666666667,0.20408163265306123,0.25,0.275,0.16279069767441862,0.7452471482889734,0.26382978723404255,0.4628099173553719,0.17768595041322313,0.41836734693877553,0.24489795918367346,0.02040816326530612,9.663157894736843,1.1368421052631579,6.963157894736842,0.18631178707224336,0.5507180342933417,0.3080550987159188,0.5507180342933417,0.8666666666666667,"{""novig"": {""1.5"": {""over"": 156}}, ""betmgm"": {""0.5"": {""over"": -160, ""under"": 120}}, ""bet365"": {""1.5"": {""over"": 182, ""under"": -245}}, ""pinnacle"": {""0.5"": {""over"": -190, ""under"": 141}}}",1.5,over,bet365,182.0,0.3546099290780142,True,-0.0466,0.5,over,betmgm,-160.0,0.6153846153846154,True,-0.0647
682985,Riley Greene,DET,KC,1,5.0,1.0,608379.0,Michael Wacha,R,824244,1:10 PM ET,Comerica Park,0,1,0.24324324324324326,2026-07-25,824244,0.0,0,97.6,97.8,106.5,L,4,3,0,0,0,0,0,0,1,1,0,3,0,3,2,1,0,0.1875,0.3395,0,0,0,0,1,0,0.28846153846153844,0.3770491803278688,0.6923076923076923,0.26229508196721313,0.3333333333333333,0.3269230769230769,0.06557377049180328,0.04918032786885246,0.15384615384615385,2.1333333333333333,1.0666666666666667,0.4864864864864865,0.2702702702702703,0.32432432432432434,0.40540540540540543,0.08108108108108109,0.3862611111111111,0.85835,0.2631578947368421,0.3,0.3462,0.9981500000000001,0.29310344827586204,0.6896551724137931,0.2727272727272727,0.18518518518518517,0.2777777777777778,0.26666666666666666,0.7452471482889734,0.26382978723404255,0.4628099173553719,0.17768595041322313,0.41836734693877553,0.24489795918367346,0.02040816326530612,9.663157894736843,1.1368421052631579,6.963157894736842,0.18631178707224336,0.5918030418720374,0.3534261433854142,0.5918030418720374,2.1333333333333333,"{""novig"": {""1.5"": {""over"": 122, ""under"": -153}}, ""bet365"": {""1.5"": {""over"": 110, ""under"": -150}}, ""betmgm"": {""1.5"": {""over"": 110, ""under"": -150}}, ""pinnacle"": {""1.5"": {""over"": 110, ""under"": -146}}, ""draftkings"": {""1.5"": {""over"": 120, ""under"": -160}}}",1.5,over,novig,122.0,0.45045045045045046,True,-0.097,0.5,,,,,False,
656716,Zach McKinstry,DET,KC,1,7.0,1.0,608379.0,Michael Wacha,R,824244,1:10 PM ET,Comerica Park,0,1,0.24324324324324326,2026-07-25,824244,0.0,0,97.6,97.8,106.5,L,3,3,1,0,0,0,0,0,0,0,1,3,0,2,0,0,3,0.5613333333333334,0.7399999999999999,1,0,1,0,0,0,0.19148936170212766,0.2549019607843137,0.8085106382978723,0.17307692307692307,0.21621621621621623,0.10638297872340426,0.019230769230769232,0.038461538461538464,0.06382978723404255,0.9333333333333333,0.6,0.23076923076923078,0.28205128205128205,0.358974358974359,0.3076923076923077,0.0,0.31701785714285713,0.47250000000000003,0.21428571428571427,0.07142857142857142,0.33989999999999987,0.42026666666666673,0.22641509433962265,0.39622641509433965,0.14285714285714285,0.2,0.28888888888888886,0.18867924528301888,0.7452471482889734,0.26382978723404255,0.4628099173553719,0.17768595041322313,0.41836734693877553,0.24489795918367346,0.02040816326530612,9.663157894736843,1.1368421052631579,6.963157894736842,0.18631178707224336,0.5655426778561184,0.30191512853545927,0.5655426778561184,0.9333333333333333,"{""novig"": {""1.5"": {""over"": 182}}, ""betmgm"": {""0.5"": {""over"": -155, ""under"": 115}}, ""bet365"": {""1.5"": {""over"": 155, ""under"": -210}}}",1.5,over,novig,182.0,0.3546099290780142,True,-0.0527,0.5,over,betmgm,-155.0,0.6078431372549019,True,-0.0423
623205,Andrew Velazquez,KC,DET,0,9.0,1.0,663554.0,Casey Mize,R,824244,1:10 PM ET,Comerica Park,0,1,0.20446735395189003,2026-07-25,824244,0.0,0,97.6,97.8,106.5,L,3,3,0,0,0,0,0,0,0,1,0,2,0,0,0,1,1,0.379,0.411,0,0,0,0,1,0,0.1111111111111111,0.2,0.7222222222222222,0.22727272727272727,0.15384615384615385,0.05555555555555555,0.0,0.045454545454545456,0.05555555555555555,0.2,0.3333333333333333,0.14285714285714285,0.07142857142857142,0.6428571428571429,0.21428571428571427,0.0,0.15805555555555556,0.18944444444444444,0.25,0.14285714285714285,0.28566666666666674,0.30333333333333334,0.1,0.15,0.4,0.22857142857142856,0.2857142857142857,0.25,0.6966824644549763,0.18461538461538463,0.32323232323232326,0.12626262626262627,0.35374149659863946,0.2857142857142857,0.006802721088435374,5.982035928143712,0.4850299401197604,8.730538922155688,0.2583732057416268,0.3557998382431256,0.14566768218545847,0.3557998382431256,0.2,"{""novig"": {""1.5"": {""over"": 217}}, ""betmgm"": {""0.5"": {""over"": 100, ""under"": -135}}, ""bet365"": {""1.5"": {""over"": 330, ""under"": -500}}, ""pinnacle"": {""0.5"": {""over"": -101, ""under"": -131}}}",1.5,over,bet365,330.0,0.23255813953488372,True,-0.0869,0.5,over,betmgm,100.0,0.5,True,-0.1442
