batter,player_name,team_abbr,opp_team,is_home,bat_order,in_lineup,pitcher_id,pitcher_name,p_throws,game_id,game_time,stadium,stand_R,p_throws_R,opp_k_pct_15,game_date,game_pk,is_dome,wind_out,hit_factor,tb_factor,hr_factor,stand,pa,ab,h,doubles,triples,hr,bb,hbp,sf,k,tb,batted_balls,barrels,hard_hits,fly_balls,ground_balls,line_drives,avg_xba,avg_xslg,target_hit_1plus,target_hit_2plus,target_tb_1plus,target_tb_2plus,target_k_1plus,target_k_2plus,batting_avg_15,obp_15,contact_rate_15,k_rate_15,babip_15,iso_15,hr_rate_15,doubles_rate_15,extra_base_hit_rate_15,avg_total_bases_15,avg_k_per_game_15,hard_hit_pct_15,line_drive_pct_15,gb_pct_15,fly_ball_pct_15,barrel_pct_15,xba_15,xslg_15,batting_avg_last_5,k_rate_last_5,xba_last_5,xslg_last_5,batting_avg_vs_R_15,slg_vs_R_15,k_rate_vs_R_15,batting_avg_vs_L_15,slg_vs_L_15,k_rate_vs_L_15,p_contact_rate_allowed_10,p_babip_allowed_10,p_slg_allowed_10,p_iso_allowed_10,p_gb_pct_10,p_fb_pct_10,p_barrel_pct_allowed_10,p_hits_per9_10,p_hr_per9_10,p_k_per9_10,p_k_rate_10,p_k_1plus,p_k_2plus,adj_prob,pred_ks,book_markets,primary_line,primary_side,primary_best_book,primary_best_odds,primary_book_implied,primary_has_line,primary_edge,secondary_line,secondary_side,secondary_best_book,secondary_best_odds,secondary_book_implied,secondary_has_line,secondary_edge
663586,Austin Riley,ATL,SD,1,6.0,1.0,606996,Kyle Hart,L,824893,12:15 PM ET,Truist Park,1,0,0.22466216216216217,2026-07-23,824893,0,1,100.6,98.4,97.1,R,5,5,2,0,0,0,0,0,0,3,2,2,0,2,0,1,1,0.45999999999999996,0.693,1,1,1,1,1,1,0.24528301886792453,0.3442622950819672,0.6792452830188679,0.2786885245901639,0.28125,0.24528301886792453,0.06557377049180328,0.01639344262295082,0.09433962264150944,1.7333333333333334,1.1333333333333333,0.4444444444444444,0.2777777777777778,0.19444444444444445,0.4444444444444444,0.05555555555555555,0.3401355555555556,0.680588888888889,0.3333333333333333,0.2,0.5055400000000001,1.2461333333333333,0.23214285714285715,0.4107142857142857,0.32786885245901637,0.16666666666666666,0.25925925925925924,0.3387096774193548,0.6507936507936508,0.21568627450980393,0.5818181818181818,0.3090909090909091,0.3902439024390244,0.2682926829268293,0.04878048780487805,6.75,2.25,10.125,0.2727272727272727,0.7384088694489429,0.3255249866038001,0.7384088694489429,1.1333333333333333,"{""bet365"": {""0.5"": {""over"": -245, ""under"": 182}}, ""betmgm"": {""1.5"": {""over"": 200}}}",0.5,over,bet365,-245.0,0.7101449275362319,True,0.0283,1.5,over,betmgm,200.0,0.3333333333333333,True,-0.0078
642086,Dominic Smith,ATL,SD,1,7.0,1.0,606996,Kyle Hart,L,824893,12:15 PM ET,Truist Park,0,0,0.22466216216216217,2026-07-23,824893,0,1,100.6,98.4,97.1,L,1,1,1,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0.083,0.097,1,0,1,0,0,0,0.18421052631578946,0.3111111111111111,0.7894736842105263,0.17777777777777778,0.23333333333333334,0.02631578947368421,0.0,0.022222222222222223,0.02631578947368421,0.5333333333333333,0.5333333333333333,0.36666666666666664,0.23333333333333334,0.5333333333333333,0.16666666666666666,0.0,0.2803846153846154,0.3555769230769231,0.125,0.16666666666666666,0.22587500000000005,0.2500000000000001,0.18421052631578946,0.21052631578947367,0.17777777777777778,0.1702127659574468,0.2765957446808511,0.17857142857142858,0.6507936507936508,0.21568627450980393,0.5818181818181818,0.3090909090909091,0.3902439024390244,0.2682926829268293,0.04878048780487805,6.75,2.25,10.125,0.2727272727272727,0.5095557808376143,0.16505901665784253,0.5095557808376143,0.5333333333333333,"{""bet365"": {""0.5"": {""over"": -115, ""under"": -115}}, ""betmgm"": {""0.5"": {""over"": -110}}}",0.5,over,betmgm,-110.0,0.5238095238095238,True,-0.0143,1.5,,,,,False,
686948,Drake Baldwin,ATL,SD,1,1.0,1.0,606996,Kyle Hart,L,824893,12:15 PM ET,Truist Park,0,0,0.22466216216216217,2026-07-23,824893,0,1,100.6,98.4,97.1,L,5,3,2,0,0,0,2,0,0,0,2,3,0,2,1,0,2,0.4086666666666667,0.5976666666666667,1,1,1,1,0,0,0.3392857142857143,0.45588235294117646,0.8928571428571429,0.08823529411764706,0.32608695652173914,0.21428571428571427,0.058823529411764705,0.0,0.07142857142857142,2.066666666666667,0.4,0.58,0.24,0.36,0.32,0.06,0.35608,0.6184244444444446,0.5,0.08333333333333333,0.35644,0.6340400000000002,0.3269230769230769,0.5576923076923077,0.09375,0.22950819672131148,0.47540983606557374,0.23880597014925373,0.6507936507936508,0.21568627450980393,0.5818181818181818,0.3090909090909091,0.3902439024390244,0.2682926829268293,0.04878048780487805,6.75,2.25,10.125,0.2727272727272727,0.5008585180492794,0.15688093946956497,0.5008585180492794,0.4,"{""bet365"": {""0.5"": {""over"": -150, ""under"": 110}}, ""betmgm"": {""0.5"": {""over"": -165}}}",0.5,over,bet365,-150.0,0.6,True,-0.0991,1.5,,,,,False,
805347,Jim Jarvis,ATL,SD,1,9.0,1.0,606996,Kyle Hart,L,824893,12:15 PM ET,Truist Park,0,0,0.22466216216216217,2026-07-23,824893,0,1,100.6,98.4,97.1,L,4,4,2,1,0,0,0,0,0,0,3,4,0,1,0,1,3,0.584,0.696,1,1,1,1,0,0,0.2916666666666667,0.3333333333333333,0.7916666666666666,0.19230769230769232,0.35135135135135137,0.16666666666666666,0.019230769230769232,0.057692307692307696,0.10416666666666667,1.4666666666666666,0.6666666666666666,0.38461538461538464,0.15384615384615385,0.5897435897435898,0.20512820512820512,0.05128205128205128,0.30833809523809524,0.41490714285714286,0.2777777777777778,0.15,0.28406666666666663,0.38083333333333336,0.30952380952380953,0.5,0.1956521739130435,,,,0.6507936507936508,0.21568627450980393,0.5818181818181818,0.3090909090909091,0.3902439024390244,0.2682926829268293,0.04878048780487805,6.75,2.25,10.125,0.2727272727272727,0.44143993017601907,0.12403300650763832,0.44143993017601907,0.6666666666666666,"{""bet365"": {""0.5"": {""over"": -120, ""under"": -110}}, ""betmgm"": {""0.5"": {""over"": -110}}}",0.5,over,betmgm,-110.0,0.5238095238095238,True,-0.0824,1.5,,,,,False,
621566,Matt Olson,ATL,SD,1,3.0,1.0,606996,Kyle Hart,L,824893,12:15 PM ET,Truist Park,0,0,0.22466216216216217,2026-07-23,824893,0,1,100.6,98.4,97.1,L,5,3,2,0,0,0,2,0,0,0,2,3,0,1,1,0,1,0.318,0.457,1,1,1,1,0,0,0.25,0.34782608695652173,0.6333333333333333,0.3188405797101449,0.28125,0.35,0.08695652173913043,0.043478260869565216,0.15,2.4,1.4666666666666666,0.47368421052631576,0.21052631578947367,0.42105263157894735,0.3157894736842105,0.05263157894736842,0.3561166666666667,0.8142611111111112,0.2631578947368421,0.30434782608695654,0.38133333333333347,0.8563999999999998,0.25862068965517243,0.6379310344827587,0.23529411764705882,0.3064516129032258,0.3548387096774194,0.30303030303030304,0.6507936507936508,0.21568627450980393,0.5818181818181818,0.3090909090909091,0.3902439024390244,0.2682926829268293,0.04878048780487805,6.75,2.25,10.125,0.2727272727272727,0.7317136670778669,0.3068063276342041,0.7317136670778669,1.4666666666666666,"{""bet365"": {""0.5"": {""over"": -245, ""under"": 182}}, ""betmgm"": {""0.5"": {""over"": -220}}}",0.5,over,betmgm,-220.0,0.6875,True,0.0442,1.5,,,,,False,
643289,Mauricio Dubón,ATL,SD,1,5.0,1.0,606996,Kyle Hart,L,824893,12:15 PM ET,Truist Park,1,0,0.22466216216216217,2026-07-23,824893,0,1,100.6,98.4,97.1,R,5,5,2,1,0,0,0,0,0,1,3,4,0,2,0,1,3,0.385,0.53175,1,1,1,1,1,0,0.21666666666666667,0.265625,0.8166666666666667,0.16666666666666666,0.23404255319148937,0.15,0.030303030303030304,0.045454545454545456,0.08333333333333333,1.4666666666666666,0.7333333333333333,0.34,0.12,0.54,0.22,0.0,0.2668322222222222,0.3943966666666666,0.21052631578947367,0.19047619047619047,0.24627999999999992,0.34509000000000006,0.23728813559322035,0.3389830508474576,0.13846153846153847,0.23333333333333334,0.45,0.09230769230769231,0.6507936507936508,0.21568627450980393,0.5818181818181818,0.3090909090909091,0.3902439024390244,0.2682926829268293,0.04878048780487805,6.75,2.25,10.125,0.2727272727272727,0.516957576235931,0.17763725232762403,0.516957576235931,0.7333333333333333,"{""bet365"": {""0.5"": {""over"": 115, ""under"": -155}}, ""betmgm"": {""0.5"": {""over"": 105}}}",0.5,over,bet365,115.0,0.46511627906976744,True,0.0518,1.5,,,,,False,
671739,Michael Harris II,ATL,SD,1,4.0,1.0,606996,Kyle Hart,L,824893,12:15 PM ET,Truist Park,0,0,0.22466216216216217,2026-07-23,824893,0,1,100.6,98.4,97.1,L,5,5,0,0,0,0,0,0,0,1,0,4,0,2,0,4,0,0.22475,0.2515,0,0,0,0,1,0,0.3333333333333333,0.3380281690140845,0.8115942028985508,0.18309859154929578,0.3584905660377358,0.2608695652173913,0.056338028169014086,0.08450704225352113,0.14492753623188406,2.7333333333333334,0.8666666666666667,0.5087719298245614,0.22807017543859648,0.42105263157894735,0.2982456140350877,0.017543859649122806,0.31875,0.5238233333333333,0.36363636363636365,0.043478260869565216,0.2767166666666666,0.4329833333333332,0.27941176470588236,0.4117647058823529,0.2112676056338028,0.2982456140350877,0.5964912280701754,0.15873015873015872,0.6507936507936508,0.21568627450980393,0.5818181818181818,0.3090909090909091,0.3902439024390244,0.2682926829268293,0.04878048780487805,6.75,2.25,10.125,0.2727272727272727,0.6511999198788518,0.26055852780239147,0.6511999198788518,0.8666666666666667,,0.5,,,,,False,,1.5,,,,,False,
573262,Mike Yastrzemski,ATL,SD,1,8.0,1.0,606996,Kyle Hart,L,824893,12:15 PM ET,Truist Park,0,0,0.22466216216216217,2026-07-23,824893,0,1,100.6,98.4,97.1,L,3,3,0,0,0,0,0,0,0,2,0,1,0,1,1,0,0,0.026,0.068,0,0,0,0,1,1,0.23076923076923078,0.3404255319148936,0.8205128205128205,0.14893617021276595,0.22580645161290322,0.20512820512820512,0.0425531914893617,0.0425531914893617,0.10256410256410256,1.1333333333333333,0.4666666666666667,0.42424242424242425,0.21212121212121213,0.30303030303030304,0.3939393939393939,0.030303030303030304,0.31317261904761906,0.704875,0.26666666666666666,0.17647058823529413,0.30236666666666656,0.7269666666666666,0.23076923076923078,0.4358974358974359,0.14893617021276595,0.18,0.24,0.26785714285714285,0.6507936507936508,0.21568627450980393,0.5818181818181818,0.3090909090909091,0.3902439024390244,0.2682926829268293,0.04878048780487805,6.75,2.25,10.125,0.2727272727272727,0.5116904002086646,0.14830962109335719,0.5116904002086646,0.4666666666666667,"{""bet365"": {""0.5"": {""over"": -165, ""under"": 125}}, ""betmgm"": {""0.5"": {""over"": -150}}}",0.5,over,betmgm,-150.0,0.6,True,-0.0883,1.5,,,,,False,
645277,Ozzie Albies,ATL,SD,1,2.0,1.0,606996,Kyle Hart,L,824893,12:15 PM ET,Truist Park,1,0,0.22466216216216217,2026-07-23,824893,0,1,100.6,98.4,97.1,R,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.4355,0.47000000000000003,0,0,0,0,1,0,0.1951219512195122,0.2765957446808511,0.6829268292682927,0.2765957446808511,0.25,0.12195121951219512,0.02127659574468085,0.0425531914893617,0.07317073170731707,0.8666666666666667,0.8666666666666667,0.2413793103448276,0.20689655172413793,0.20689655172413793,0.4482758620689655,0.0,0.2571309523809524,0.3932023809523809,0.14285714285714285,0.2608695652173913,0.24519999999999995,0.36873333333333314,0.20634920634920634,0.3968253968253968,0.27941176470588236,0.25862068965517243,0.46551724137931033,0.07575757575757576,0.6507936507936508,0.21568627450980393,0.5818181818181818,0.3090909090909091,0.3902439024390244,0.2682926829268293,0.04878048780487805,6.75,2.25,10.125,0.2727272727272727,0.607953129190442,0.26682298777448327,0.607953129190442,0.8666666666666667,"{""bet365"": {""0.5"": {""over"": -140, ""under"": 105}}, ""betmgm"": {""0.5"": {""over"": -120}}}",0.5,over,betmgm,-120.0,0.5454545454545454,True,0.0625,1.5,,,,,False,
665487,Fernando Tatis Jr.,SD,ATL,0,1.0,1.0,519242,Chris Sale,L,824893,12:15 PM ET,Truist Park,1,0,0.2062937062937063,2026-07-23,824893,0,1,100.6,98.4,97.1,R,5,3,1,0,1,0,2,0,0,1,3,2,0,1,0,1,1,0.5095000000000001,0.6194999999999999,1,0,1,1,1,0,0.31666666666666665,0.3880597014925373,0.7666666666666667,0.208955223880597,0.37209302325581395,0.21666666666666667,0.04477611940298507,0.05970149253731343,0.11666666666666667,2.1333333333333333,0.9333333333333333,0.5434782608695652,0.1956521739130435,0.5869565217391305,0.17391304347826086,0.043478260869565216,0.34238690476190475,0.5793869047619048,0.45,0.043478260869565216,0.4777999999999999,1.0328500000000003,0.25862068965517243,0.3793103448275862,0.21212121212121213,0.3548387096774194,0.5806451612903226,0.22058823529411764,0.6375,0.2558139534883721,0.3440366972477064,0.0779816513761468,0.4444444444444444,0.19607843137254902,0.0196078431372549,8.85,0.45,11.100000000000001,0.2901960784313726,0.7005444175538221,0.2843900077391366,0.7005444175538221,0.9333333333333333,,0.5,,,,,False,,1.5,,,,,False,
