batter,player_name,team_abbr,opp_team,is_home,bat_order,in_lineup,pitcher_id,pitcher_name,p_throws,game_id,game_time,stadium,stand_R,p_throws_R,opp_k_pct_15,game_date,game_pk,is_dome,wind_out,hit_factor,tb_factor,hr_factor,stand,pa,ab,h,doubles,triples,hr,bb,hbp,sf,k,tb,batted_balls,barrels,hard_hits,fly_balls,ground_balls,line_drives,avg_xba,avg_xslg,target_hit_1plus,target_hit_2plus,target_tb_1plus,target_tb_2plus,target_k_1plus,target_k_2plus,batting_avg_15,obp_15,contact_rate_15,k_rate_15,babip_15,iso_15,hr_rate_15,doubles_rate_15,extra_base_hit_rate_15,avg_total_bases_15,avg_k_per_game_15,hard_hit_pct_15,line_drive_pct_15,gb_pct_15,fly_ball_pct_15,barrel_pct_15,xba_15,xslg_15,batting_avg_last_5,k_rate_last_5,xba_last_5,xslg_last_5,batting_avg_vs_R_15,slg_vs_R_15,k_rate_vs_R_15,batting_avg_vs_L_15,slg_vs_L_15,k_rate_vs_L_15,p_contact_rate_allowed_10,p_babip_allowed_10,p_slg_allowed_10,p_iso_allowed_10,p_gb_pct_10,p_fb_pct_10,p_barrel_pct_allowed_10,p_hits_per9_10,p_hr_per9_10,p_k_per9_10,p_k_rate_10,p_k_1plus,p_k_2plus,adj_prob,pred_ks,book_markets,primary_line,primary_side,primary_best_book,primary_best_odds,primary_book_implied,primary_has_line,primary_edge,secondary_line,secondary_side,secondary_best_book,secondary_best_odds,secondary_book_implied,secondary_has_line,secondary_edge
667472,Dane Myers,CIN,MIL,1,1.0,1.0,690986,Kyle Harrison,L,824469,12:10 PM ET,Great American Ball Park,1,0,0.24268502581755594,2026-09-06,824469,0.0,0,97.3,101.4,113.2,R,5,5,2,1,0,0,0,0,0,2,3,3,0,1,0,2,1,0.331,0.41566666666666663,1,1,1,1,1,1,0.3076923076923077,0.3684210526315789,0.8076923076923077,0.17543859649122806,0.3333333333333333,0.19230769230769232,0.05263157894736842,0.017543859649122806,0.07692307692307693,1.7333333333333334,0.6666666666666666,0.40476190476190477,0.16666666666666666,0.5714285714285714,0.2619047619047619,0.0,0.3456911111111111,0.5088111111111111,0.29411764705882354,0.16666666666666666,0.3981399999999999,0.5032333333333334,0.23076923076923078,0.3076923076923077,0.2542372881355932,0.3333333333333333,0.5238095238095238,0.1276595744680851,0.6564102564102564,0.20930232558139536,0.46703296703296704,0.21428571428571427,0.421875,0.328125,0.0390625,7.5600000000000005,1.2600000000000002,11.520000000000003,0.3137254901960784,0.6544536951915967,0.2354546480377682,0.6544536951915967,0.6666666666666666,,0.5,,,,,False,,1.5,,,,,False,
682829,Elly De La Cruz,CIN,MIL,1,2.0,1.0,690986,Kyle Harrison,L,824469,12:10 PM ET,Great American Ball Park,1,0,0.24268502581755594,2026-09-06,824469,0.0,0,97.3,101.4,113.2,R,2,2,1,0,0,0,0,0,0,1,1,1,0,1,0,0,1,0.709,0.952,1,0,1,0,1,0,0.48148148148148145,0.5625,0.6666666666666666,0.28125,0.7058823529411765,0.14814814814814814,0.03125,0.03125,0.07407407407407407,1.1333333333333333,0.6,0.6111111111111112,0.3333333333333333,0.5,0.16666666666666666,0.05555555555555555,0.5251363636363636,1.0504545454545455,0.5454545454545454,0.2727272727272727,0.6658999999999999,1.4076000000000004,0.26785714285714285,0.39285714285714285,0.22058823529411764,0.2903225806451613,0.45161290322580644,0.3333333333333333,0.6564102564102564,0.20930232558139536,0.46703296703296704,0.21428571428571427,0.421875,0.328125,0.0390625,7.5600000000000005,1.2600000000000002,11.520000000000003,0.3137254901960784,0.5989658269011381,0.27339414559108516,0.5989658269011381,0.6,,0.5,,,,,False,,1.5,,,,,False,
553993,Eugenio Suárez,CIN,MIL,1,5.0,1.0,690986,Kyle Harrison,L,824469,12:10 PM ET,Great American Ball Park,1,0,0.24268502581755594,2026-09-06,824469,0.0,0,97.3,101.4,113.2,R,4,4,2,1,0,0,0,0,0,0,3,4,0,2,1,1,1,0.50525,1.183,1,1,1,1,0,0,0.17391304347826086,0.3559322033898305,0.6086956521739131,0.3050847457627119,0.2,0.1956521739130435,0.05084745762711865,0.0,0.06521739130434782,1.1333333333333333,1.2,0.25,0.17857142857142858,0.39285714285714285,0.35714285714285715,0.03571428571428571,0.3306428571428572,0.5525238095238094,0.2,0.3,0.2584666666666665,0.7067333333333338,0.2653061224489796,0.5714285714285714,0.2711864406779661,0.18,0.32,0.4166666666666667,0.6564102564102564,0.20930232558139536,0.46703296703296704,0.21428571428571427,0.421875,0.328125,0.0390625,7.5600000000000005,1.2600000000000002,11.520000000000003,0.3137254901960784,0.7470984070128828,0.38748185675427976,0.7470984070128828,1.2,,0.5,,,,,False,,1.5,,,,,False,
699302,Héctor Rodríguez,CIN,MIL,1,9.0,1.0,690986,Kyle Harrison,L,824469,12:10 PM ET,Great American Ball Park,0,0,0.24268502581755594,2026-09-06,824469,0.0,0,97.3,101.4,113.2,L,4,4,2,0,0,0,0,0,0,2,2,2,0,0,1,0,1,0.72,0.7955,1,1,1,1,1,1,0.2909090909090909,0.35,0.6909090909090909,0.2833333333333333,0.3333333333333333,0.3090909090909091,0.08333333333333333,0.03333333333333333,0.12727272727272726,2.2,1.1333333333333333,0.34210526315789475,0.13157894736842105,0.5263157894736842,0.3157894736842105,0.02631578947368421,0.29269615384615383,0.5345948717948719,0.23809523809523808,0.45454545454545453,0.33010416666666664,0.559625,0.24,0.44,0.25925925925925924,0.35294117647058826,0.6470588235294118,0.3684210526315789,0.6564102564102564,0.20930232558139536,0.46703296703296704,0.21428571428571427,0.421875,0.328125,0.0390625,7.5600000000000005,1.2600000000000002,11.520000000000003,0.3137254901960784,0.5630965709860128,0.13827189817553184,0.5630965709860128,1.1333333333333333,,0.5,,,,,False,,1.5,,,,,False,
668709,JJ Bleday,CIN,MIL,1,6.0,1.0,690986,Kyle Harrison,L,824469,12:10 PM ET,Great American Ball Park,0,0,0.24268502581755594,2026-09-06,824469,0.0,0,97.3,101.4,113.2,L,4,4,1,0,0,0,0,0,0,2,1,2,0,1,0,1,1,0.445,0.5235,1,0,1,0,1,1,0.22641509433962265,0.34375,0.7547169811320755,0.203125,0.2564102564102564,0.18867924528301888,0.03125,0.03125,0.09433962264150944,1.4666666666666666,0.8666666666666667,0.3170731707317073,0.34146341463414637,0.2926829268292683,0.2682926829268293,0.024390243902439025,0.3044122222222222,0.4853144444444445,0.3125,0.1,0.21080000000000002,0.48213333333333336,0.23076923076923078,0.36538461538461536,0.14516129032258066,0.1509433962264151,0.2830188679245283,0.32786885245901637,0.6564102564102564,0.20930232558139536,0.46703296703296704,0.21428571428571427,0.421875,0.328125,0.0390625,7.5600000000000005,1.2600000000000002,11.520000000000003,0.3137254901960784,0.7233882867731154,0.321946154517394,0.7233882867731154,0.8666666666666667,,0.5,,,,,False,,1.5,,,,,False,
682877,Juan Brito,CIN,MIL,1,8.0,1.0,690986,Kyle Harrison,L,824469,12:10 PM ET,Great American Ball Park,0,0,0.24268502581755594,2026-09-06,824469,0.0,0,97.3,101.4,113.2,L,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.0345,0.08549999999999999,0,0,0,0,1,0,0.11764705882352941,0.20512820512820512,0.5882352941176471,0.358974358974359,0.15,0.14705882352941177,0.02564102564102564,0.05128205128205128,0.08823529411764706,0.6,0.9333333333333333,0.3333333333333333,0.23809523809523808,0.42857142857142855,0.19047619047619047,0.047619047619047616,0.29253030303030303,0.5228030303030302,0.2,0.3333333333333333,0.27949999999999997,0.32337499999999997,0.16216216216216217,0.32432432432432434,0.2926829268292683,0.2,0.25,0.2727272727272727,0.6564102564102564,0.20930232558139536,0.46703296703296704,0.21428571428571427,0.421875,0.328125,0.0390625,7.5600000000000005,1.2600000000000002,11.520000000000003,0.3137254901960784,0.6544536951915967,0.2949738410863018,0.6544536951915967,0.9333333333333333,,0.5,,,,,False,,1.5,,,,,False,
680574,Matt McLain,CIN,MIL,1,7.0,1.0,690986,Kyle Harrison,L,824469,12:10 PM ET,Great American Ball Park,1,0,0.24268502581755594,2026-09-06,824469,0.0,0,97.3,101.4,113.2,R,3,3,1,0,0,1,0,0,0,0,4,3,0,1,2,1,0,0.20133333333333334,0.4026666666666667,1,0,1,1,0,0,0.16666666666666666,0.2459016393442623,0.7037037037037037,0.25806451612903225,0.16666666666666666,0.18518518518518517,0.04838709677419355,0.016129032258064516,0.07407407407407407,1.2666666666666666,1.0666666666666667,0.4,0.175,0.375,0.35,0.0,0.21943333333333334,0.41099444444444444,0.17647058823529413,0.3,0.23793333333333333,0.4155000000000001,0.14545454545454545,0.32727272727272727,0.27419354838709675,0.20930232558139536,0.4418604651162791,0.2857142857142857,0.6564102564102564,0.20930232558139536,0.46703296703296704,0.21428571428571427,0.421875,0.328125,0.0390625,7.5600000000000005,1.2600000000000002,11.520000000000003,0.3137254901960784,0.7355518336567352,0.3563283050224118,0.7355518336567352,1.0666666666666667,,0.5,,,,,False,,1.5,,,,,False,
701398,Sal Stewart,CIN,MIL,1,3.0,1.0,690986,Kyle Harrison,L,824469,12:10 PM ET,Great American Ball Park,1,0,0.24268502581755594,2026-09-06,824469,0.0,0,97.3,101.4,113.2,R,4,3,2,0,0,0,1,0,0,1,2,2,0,2,0,0,2,0.64,0.863,1,1,1,1,1,0,0.3225806451612903,0.3582089552238806,0.8225806451612904,0.16417910447761194,0.3191489361702128,0.25806451612903225,0.07462686567164178,0.014925373134328358,0.0967741935483871,2.4,0.7333333333333333,0.40384615384615385,0.23076923076923078,0.38461538461538464,0.36538461538461536,0.057692307692307696,0.3477322222222223,0.7264433333333333,0.2857142857142857,0.047619047619047616,0.2602,0.52985,0.31666666666666665,0.48333333333333334,0.13846153846153847,0.288135593220339,0.4745762711864407,0.23076923076923078,0.6564102564102564,0.20930232558139536,0.46703296703296704,0.21428571428571427,0.421875,0.328125,0.0390625,7.5600000000000005,1.2600000000000002,11.520000000000003,0.3137254901960784,0.6390597194569217,0.21945355234277028,0.6390597194569217,0.7333333333333333,,0.5,,,,,False,,1.5,,,,,False,
663886,Tyler Stephenson,CIN,MIL,1,4.0,1.0,690986,Kyle Harrison,L,824469,12:10 PM ET,Great American Ball Park,1,0,0.24268502581755594,2026-09-06,824469,0.0,0,97.3,101.4,113.2,R,4,4,1,0,0,1,0,0,0,2,4,2,0,1,2,0,0,0.2185,0.792,1,0,1,1,1,1,0.22641509433962265,0.3064516129032258,0.5471698113207547,0.3870967741935484,0.3448275862068966,0.16981132075471697,0.03225806451612903,0.04838709677419355,0.09433962264150944,1.4,1.6,0.3548387096774194,0.3870967741935484,0.2903225806451613,0.2903225806451613,0.03225806451612903,0.3589904761904762,0.5456309523809524,0.2222222222222222,0.2857142857142857,0.40994,0.5634999999999998,0.21739130434782608,0.32608695652173914,0.3888888888888889,0.2708333333333333,0.4583333333333333,0.21818181818181817,0.6564102564102564,0.20930232558139536,0.46703296703296704,0.21428571428571427,0.421875,0.328125,0.0390625,7.5600000000000005,1.2600000000000002,11.520000000000003,0.3137254901960784,0.7422584866959827,0.4764547328365309,0.7422584866959827,1.6,,0.5,,,,,False,,1.5,,,,,False,
666310,Bo Naylor,MIL,CIN,0,8.0,1.0,663903,Brady Singer,R,824469,12:10 PM ET,Great American Ball Park,0,1,0.20439189189189189,2026-09-06,824469,0.0,0,97.3,101.4,113.2,L,5,5,2,0,0,1,0,0,0,1,5,4,0,3,2,2,0,0.279,0.726,1,1,1,1,1,0,0.13043478260869565,0.16666666666666666,0.7391304347826086,0.25,0.15151515151515152,0.10869565217391304,0.020833333333333332,0.041666666666666664,0.06521739130434782,0.7333333333333333,0.8,0.3235294117647059,0.2647058823529412,0.29411764705882354,0.2647058823529412,0.058823529411764705,0.27760555555555555,0.5685444444444444,0.13333333333333333,0.1875,0.25494999999999995,0.5566500000000001,0.1111111111111111,0.2222222222222222,0.23404255319148937,0.225,0.475,0.16,0.7104247104247104,0.2171945701357466,0.35964912280701755,0.11842105263157894,0.43478260869565216,0.2391304347826087,0.021739130434782608,9.0,2.34,9.18,0.23076923076923078,0.5840965056957887,0.163738938842526,0.5840965056957887,0.8,,0.5,,,,,False,,1.5,,,,,False,
